#zl   zh  zm  lx    lxl   lxh    s      es     sl       sh
0.40 4.0 2.0 42.92 42.51 43.129 0.287 0.07439 0.22421  0.3530 1 6205 0.25 
0.40 4.0 2.0 43.29 43.14 43.488 0.226 0.07051 0.15557  0.2966 1 6205 0.25
0.40 4.0 2.0 43.57 43.50 43.668 0.141 0.03918 0.10124  0.1796 1 6205 0.25
0.40 4.0 2.0 43.77 43.66 43.898 0.114 0.03160 0.08169  0.1449 1 6205 0.25
0.40 4.0 2.0 44.02 43.93 44.110 0.065 0.02747 0.03865  0.0936 1 6205 0.25
0.40 4.0 2.0 44.28 44.14 44.387 0.132 0.06281 0.07087  0.1965 1 6205 0.25
0.40 4.0 2.0 44.59 44.39 44.875 0.055 0.02353 0.03223  0.0793 1 6205 0.25
0.40 4.0 2.0 44.97 44.90 45.046 0.023 0.01701 0.00687  0.0409 1 6205 0.25
